id,name,type,date_inscription,geoloc,website,twitter,facebook,contributions_total,propositions_total,amendements_total,votes_total,votes_pro_total,votes_against_total,votes_unsure_total,description,picture,url
2181121057,,Citoyen,16-01-15,,,,,,,,5,5,,,,,
3659366390,,Citoyen,16-01-13,,,,,,,,1,1,,,,,
3542754725,,Citoyen,16-01-18,,,,,,,,3,3,,,,,
1084789064,,Citoyen,16-01-18,,,,,,,,1,1,,,,,
330252790,,Citoyen,16-01-15,,,,,,,,2,2,,,,,
1827246976,,Citoyen,16-01-18,,,,,,,,1,1,,,,,
3767804810,,Citoyen,16-01-16,,,,,,,,3,3,,,,,
1792512575,,Citoyen,16-01-18,,,,,,,,6,6,,,,,
2067801830,,Citoyen,16-01-14,,,,,,,,33,22,11,,,,
3974402498,,Citoyen,16-01-18,,,,,,,,1,1,,,,,
1443596641,,Citoyen,16-01-17,,,,,,,,4,4,,,,,
3394825100,,Citoyen,16-01-14,,,,,,,,2,2,,,,,
4023907483,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
2772133497,,Citoyen,16-01-14,,,,,,,,1,1,,,,,
2685955773,,Citoyen,16-01-16,,,,,,,,4,4,,,,,
2089413894,,Citoyen,16-01-14,,,,,,,,4,4,,,,,
4216386027,,Citoyen,16-01-14,,,,,,,,6,6,,,,,
2853786242,,Citoyen,16-01-07,,,,,,,,48,44,2,2,,,
3561516193,,Citoyen,16-01-14,,,,,,,,6,6,,,,,
1073758823,,Citoyen,16-01-18,,,,,,,,5,5,,,,,
494289750,,Citoyen,16-01-07,,,,,,,,1,1,,,,,
4178495884,,Citoyen,16-01-14,,,,,,,,2,,2,,,,
306954655,,Citoyen,16-01-15,,,,,,,,5,5,,,,,
1505234503,,Citoyen,16-01-18,,,,,,,,1,1,,,,,
1616895850,,Citoyen,16-01-15,,,,,,,,9,9,,,,,
3354134311,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
1671143145,,Citoyen,16-01-16,,,,,,,,5,5,,,,,
143026485,,Citoyen,16-01-18,,,,,,,,1,1,,,,,
602532289,,Citoyen,16-01-05,,,,,,,,11,11,,,,https://www.parlement-et-citoyens.fr/media/cache/default_profile/default/0001/02/1153_default_profile.jpg,
158621816,,Citoyen,16-01-13,,,,,,,,3,3,,,,,
2760578719,,Citoyen,16-01-06,,,,,,,,2,2,,,,,
1283139219,,Citoyen,16-01-18,,,,,,,,1,1,,,,,
2377769375,,Citoyen,16-01-14,,,,,,,,4,4,,,,,
1961280392,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
2497951987,,Citoyen,16-01-05,,,,,,,,1,1,,,,,
2652102667,,Citoyen,16-01-15,,,,,,,,4,4,,,,,
302637072,,Citoyen,16-01-06,,,,,,,,1,1,,,,,
4253499046,,Citoyen,16-01-14,,,,,,,,1,1,,,,,
210885336,,Citoyen,16-01-18,,,,,,,,1,,1,,,,
3971728479,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
2222317130,,Citoyen,16-01-06,,,,,,,,1,1,,,,,
289505972,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
2868380356,,Citoyen,16-01-16,,,,,,,,1,1,,,,,
1830449726,,Citoyen,16-01-14,,,,,,,,9,9,,,,,
3674184341,,Citoyen,16-01-07,,,,,,,,1,1,,,,,
1065304152,Association ArboréSciences,Organisation à but non lucratif,16-01-14,,,,,,,,5,,4,1,,,https://www.parlement-et-citoyens.fr/profile/associationarboresciences
2415515292,,Citoyen,16-01-12,,,,,,,,4,4,,,,,
548812024,,Citoyen,16-01-05,,,,,,,,7,7,,,,,
636689542,,Citoyen,16-01-14,,,,,,,,3,3,,,,,
3136066574,,Citoyen,15-12-29,,,,,,,,1,1,,,,,
2411710106,,Citoyen,15-12-26,,,,,,,,2,2,,,,,
4278523733,,Citoyen,16-01-06,,,,,,,,1,1,,,,,
3123619866,patrick,Citoyen,16-01-03,,,,,2,,2,3,,1,2,,,https://www.parlement-et-citoyens.fr/profile/patrick
3884700999,,Citoyen,16-01-08,,,,,,,,1,1,,,,,
1039467218,,Citoyen,16-01-08,,,,,,,,1,1,,,,,
2260503661,,Citoyen,16-01-18,,,,,,,,1,1,,,,,
578879287,,Citoyen,16-01-12,,,,,,,,7,6,1,,,,
2332807119,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
1270355308,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
814900606,Eco-Sys Action,Organisation à but non lucratif,16-01-16,,,,,,,,4,4,,,,,https://www.parlement-et-citoyens.fr/profile/ecosysaction
88251581,,Citoyen,16-01-18,,,,,,,,1,1,,,,,
2134704224,,Citoyen,15-12-18,,,,,,,,43,39,1,3,,,
2988134498,,Citoyen,16-01-18,,,,,,,,5,5,,,,,
1160489126,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
3822801385,,Citoyen,16-01-14,,,,,,,,1,,1,,,,
1228535868,,Citoyen,16-01-18,,,,,,,,3,2,1,,,,
543983619,,Citoyen,16-01-16,,,,,,,,1,1,,,,,
2389691100,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
703880258,,Citoyen,16-01-07,,,,,,,,6,6,,,,,
1499469209,,Citoyen,16-01-14,,,,,,,,1,,1,,,,
290124975,,Citoyen,16-01-14,,,,,,,,8,8,,,,,
4202447762,,Citoyen,16-01-13,,,,,,,,5,5,,,,,
3636773457,,Citoyen,16-01-17,,,,,,,,1,,1,,,,
4092337685,,Citoyen,16-01-15,,,,,,,,11,11,,,,,
2555428986,,Citoyen,16-01-05,,,,,,,,1,1,,,,,
719666489,,Citoyen,15-12-26,,,,,,,,4,4,,,,,
1282333747,,Citoyen,16-01-13,,,,,,,,1,,1,,,,
1938488547,,Citoyen,16-01-07,,,,,,,,1,1,,,,,
3522733724,,Citoyen,16-01-14,,,,,,,,1,1,,,,,
1339783890,,Citoyen,16-01-16,,,,,,,,6,6,,,,,
439881391,,Citoyen,16-01-15,,,,,,,,5,5,,,,,
96158030,,Citoyen,16-01-15,,,,,,,,11,11,,,,,
652132367,,Citoyen,16-01-14,,,,,,,,4,4,,,,,
1953285372,,Citoyen,16-01-14,,,,,,,,4,4,,,,,
2435067897,,Citoyen,16-01-09,,,,,,,,6,6,,,,,
3466526749,James Tynan,Citoyen,16-01-14,,,,,1,,1,1,,1,,,,https://www.parlement-et-citoyens.fr/profile/jamestynan
3665783694,,Citoyen,16-01-18,,,,,,,,1,1,,,,,
629335226,,Citoyen,16-01-13,,,,,,,,3,3,,,,,
822921032,,Citoyen,16-01-14,,,,,,,,2,2,,,,,
1351403006,,Citoyen,16-01-16,,,,,,,,4,4,,,,,
3296996984,,Citoyen,16-01-17,,,,,,,,5,5,,,,,
2616408705,,Citoyen,15-12-26,,,,,,,,2,2,,,,,
2000131712,,Citoyen,16-01-14,,,,,,,,5,4,,1,,,
3631600687,,Citoyen,16-01-15,,,,,,,,2,1,1,,,,
3664485245,,Citoyen,16-01-16,,,,,,,,2,2,,,,,
1614721683,,Citoyen,16-01-08,,,,,,,,1,1,,,,,
792137869,,Citoyen,16-01-13,,,,,,,,1,1,,,,,
3279115505,,Citoyen,15-12-30,,,,,,,,3,1,1,1,,,
3937649863,,Citoyen,16-01-14,,,,,,,,1,1,,,,,
3174564846,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
3902343173,,Citoyen,16-01-18,,,,,,,,1,1,,,,,
1295851861,,Citoyen,16-01-15,,,,,,,,3,3,,,,,
2407306634,,Citoyen,16-01-17,,,,,,,,5,5,,,,,
3208391033,,Citoyen,16-01-15,,,,,,,,1,1,,,,,
541106802,,Citoyen,16-01-17,,,,,,,,5,5,,,,,
2001396549,,Citoyen,15-12-27,,,,,,,,8,3,,5,,,
2567274475,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
3603239372,,Citoyen,16-01-16,,,,,,,,,,,,,,
2561067668,,Citoyen,16-01-18,,,,,,,,1,1,,,,,
1719791183,,Citoyen,16-01-14,,,,,,,,4,4,,,,,
4068608663,,Citoyen,16-01-14,,,,,,,,6,6,,,,,
3790803121,,Citoyen,16-01-08,,,,,,,,1,1,,,,,
4058350624,,Citoyen,16-01-16,,,,,,,,1,1,,,,,
3662945872,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
1587389659,,Citoyen,16-01-18,,,,,,,,1,1,,,,,
3002233829,,Citoyen,16-01-17,,,,,,,,5,5,,,,,
523511634,,Citoyen,16-01-14,,,,,,,,9,8,1,,,,
3737014732,,Citoyen,16-01-14,,,,,,,,1,1,,,,,
1465566052,,Citoyen,16-01-15,,,,,,,,1,,1,,,,
1956422642,DEJEAN,Organisation à but non lucratif,16-01-15,,,,,,,,1,,1,,,,https://www.parlement-et-citoyens.fr/profile/dejean1
2501069435,,Citoyen,16-01-10,,,,,,,,2,2,,,,,
3460203617,,Citoyen,16-01-16,,,,,,,,1,1,,,,,
3872807082,,Citoyen,16-01-14,,,,,,,,24,23,,1,,,
4027089021,,Citoyen,16-01-14,,,,,,,,1,,,1,,,
1414708592,,Citoyen,16-01-15,,,,,,,,4,2,,2,,,
3387661830,,Citoyen,16-01-14,,,,,,,,6,6,,,,,
4043478659,,Citoyen,16-01-14,,,,,,,,3,3,,,,,
2290621777,,Citoyen,16-01-15,,,,,,,,2,2,,,,,
3428919482,,Citoyen,16-01-14,,,,,,,,1,1,,,,,
259904187,,Citoyen,16-01-15,,,,,,,,37,32,4,1,,,
3768037566,,Citoyen,16-01-17,,,,,,,,4,4,,,,,
543275859,,Citoyen,16-01-16,,,,,,,,1,1,,,,,
3089901005,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
2561141456,,Citoyen,16-01-18,,,,,,,,1,1,,,,,
3661071161,,Citoyen,15-12-28,,,,,,,,1,,1,,,,
3965348339,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
1893418474,,Citoyen,16-01-17,,,,,,,,1,1,,,,,
3060289767,,Citoyen,16-01-17,,,,,,,,1,1,,,,,
306243808,,Citoyen,16-01-14,,,,,,,,3,3,,,,,
800691099,,Citoyen,16-01-15,,,,,,,,4,4,,,,,
1264182112,,Citoyen,16-01-16,,,,,,,,5,5,,,,,
4228134574,,Citoyen,16-01-17,,,,,,,,1,1,,,,,
1840379997,,Citoyen,15-12-25,,,,,,,,8,8,,,,,
2405663460,,Citoyen,16-01-16,,,,,,,,1,,1,,,,
194514120,,Citoyen,16-01-18,,,,,,,,14,14,,,,,
1367413212,,Citoyen,15-12-29,,,,,,,,1,1,,,,,
4015429102,,Citoyen,16-01-05,,,,,,,,2,2,,,,,
305373783,,Citoyen,15-12-28,,,,,,,,1,1,,,,,
3679414702,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
2843010314,,Citoyen,16-01-17,,,,,,,,1,1,,,,,
1185383940,,Citoyen,16-01-07,,,,,,,,1,1,,,,,
2396940364,,Citoyen,16-01-14,,,,,,,,10,7,1,2,,,
1967574406,,Citoyen,16-01-07,,,,,,,,3,3,,,,,
2507338188,,Citoyen,16-01-14,,,,,,,,1,,1,,,,
3206424880,,Citoyen,16-01-18,,,,,,,,5,5,,,,,
2752918802,,Citoyen,16-01-18,,,,,,,,1,1,,,,,
3618523676,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
859564445,,Citoyen,16-01-14,,,,,,,,1,,1,,,,
3292733276,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
308023059,,Citoyen,16-01-18,,,,,,,,5,5,,,,,
3589393126,,Citoyen,16-01-14,,,,,,,,6,6,,,,,
4184130326,,Citoyen,16-01-14,,,,,,,,1,1,,,,,
1943964776,,Citoyen,16-01-14,,,,,,,,1,1,,,,,
1280381557,,Citoyen,16-01-14,,,,,,,,1,1,,,,,
2197763582,,Citoyen,15-12-30,,,,,,,,40,37,3,,,,
2335658366,,Citoyen,16-01-13,,,,,,,,1,1,,,,,
3354546293,,Citoyen,16-01-17,,,,,,,,6,6,,,,,
1255929725,,Citoyen,16-01-15,,,,,,,,5,4,,1,,,
156380013,,Citoyen,16-01-17,,,,,,,,1,1,,,,,
2722313565,,Citoyen,16-01-16,,,,,,,,1,1,,,,,
172600143,,Citoyen,16-01-14,,,,,,,,3,3,,,,,
2843118779,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
629115330,,Citoyen,16-01-15,,,,,,,,3,3,,,,,
279661541,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
2004071756,,Citoyen,16-01-07,,,,,,,,1,1,,,,,
2379736312,,Citoyen,16-01-17,,,,,,,,1,1,,,,,
3379223681,,Citoyen,16-01-14,,,,,,,,1,1,,,,,
875552267,,Citoyen,16-01-17,,,,,,,,2,1,1,,,,
3985068419,,Citoyen,16-01-18,,,,,,,,5,5,,,,,
3940898269,,Citoyen,16-01-18,,,,,,,,2,2,,,,,
1191912081,,Citoyen,15-12-29,,,,,,,,2,2,,,,,
3265986602,,Citoyen,16-01-18,,,,,,,,1,1,,,,,
386940086,,Citoyen,15-06-12,,,,,,,,1,1,,,,,
425020097,Association de chasse de Forcalquier,Organisation à but non lucratif,16-01-17,,,,,,,,1,,1,,,,https://www.parlement-et-citoyens.fr/profile/associationdechassedeforcalquier
188978855,,Citoyen,16-01-17,,,,,,,,5,5,,,,,
2956949124,,Citoyen,16-01-15,,,,,,,,5,,5,,,,
3781449186,,Citoyen,16-01-17,,,,,,,,1,1,,,,,
3934508456,,Citoyen,16-01-15,,,,,,,,4,4,,,,,
3867219777,,Citoyen,16-01-15,,,,,,,,1,,1,,,,
3674038650,GIRONE,Citoyen,16-01-14,,,,,1,1,,1,1,,,,,https://www.parlement-et-citoyens.fr/profile/girone
3993235010,,Citoyen,16-01-08,,,,,,,,1,1,,,,,
2650629288,,Citoyen,16-01-05,,,,,,,,1,1,,,,,
1305928604,,Citoyen,16-01-14,,,,,,,,5,5,,,,,
3175120708,,Citoyen,16-01-18,,,,,,,,3,3,,,,,
